Altium Designer Pick and Place Locations
C:\Users\elhares\Desktop\Projekts\BGT24LTR11 Realted Projects\D2GL\Project Outputs for BGT24LTR11 RF-Shield Board V3.0\Pick Place\Pick Place for BGT24LTR11_RF-Shield_Board_V3.0(Distance2GoL).txt

========================================================================================================================
File Design Information:

Date:       24.03.21
Time:       09:44
Revision:   Not in VersionControl
Variant:    Distance2GoL
Units used: mil

Designator Comment                             Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                              
ANT2       "24GHZ S2G Antenna 4X1 Patch Array" BottomLayer S2G_ANT                    380.196       1134.484      180      ""                                                                                       
MP2        BMI-S-209-F-20                      TopLayer    SHIELD-SMD-BMI-S-209-F     529.929       965.711       90       "Standard Board Level Shield Frame 1008/1010 PRE-PLATED COLD ROLLED STEEL"               
MP1        BMI-S-209-C-20                      TopLayer    SHIELD-BMI-S-209-C         -39706.307    -40374.764    90       "Standard Board Level Shield Frame Cover 1008/1010 PRE-PLATED COLD ROLLED STEEL"         
TP1        Testpoint                           BottomLayer TP1.5MM                    1470.885      288.901       180      Testpoint                                                                                
R200       0R                                  TopLayer    RESC1005X40N_2             2098.835      766.624       90       0R/50V/20mOhm                                                                            
TP6        Testpoint                           BottomLayer TP1.5MM                    48.623        445.984       180      Testpoint                                                                                
U1         BGT24LTR11N16                       TopLayer    PQFN50P240X240X77-17N-V    537.403       601.180       360      "Silicon Germanium 24GHz Radar Transceiver MMIC"                                         
M2         "Maching 2nd Filter DCBlock"        TopLayer    OLD_MATCHING               434.723       867.735       180      ""                                                                                       
M1         "Maching 2nd Filter DCBlock"        TopLayer    MACHINING_LTR11            640.760       867.864       180      ""                                                                                       
R125       0R                                  TopLayer    RESC1005X40N_2             1764.190      1324.094      90       0R/50V/20mOhm                                                                            
R122       0R                                  TopLayer    RESC1005X40N_2             1842.930      1324.094      90       0R/50V/20mOhm                                                                            
U5         TLV9002SIDGSR                       TopLayer    SOP50P490X110-10N-1-V      1225.625      481.312       270      "Op Amp Dual Low Power Amplifier R-R I/O ±2.75V/5.5V"                                   
U4         TLV9002SIDGSR                       TopLayer    SOP50P490X110-10N-1-V      1227.348      971.432       270      "Op Amp Dual Low Power Amplifier R-R I/O ±2.75V/5.5V"                                   
R111       10R                                 TopLayer    RESC1005X40N_2             1146.905      1401.214      270      10R/50V/20mOhm                                                                           
R22        100R                                TopLayer    RESC1005X40N_2             584.504       787.247       360      100R/50V/0402                                                                            
Q2         IRLHS2242PbF                        TopLayer    IRLHS2242-V                524.111       1681.122      270      "HEXFET Power Mosfet, VDS -20V"                                                          
C51        100nF                               TopLayer    CAPC1005X55N-0_2           434.441       1669.541      90       "General Purpose Surface Mount Ceramic Capacitor"                                        
R115       "33 k"                              TopLayer    RESC1005X40N_2             1339.050      237.137       360      0R/50V/20mOhm                                                                            
R114       "33 k"                              TopLayer    RESC1005X40N_2             1041.733      441.444       360      0R/50V/20mOhm                                                                            
R106       0R                                  TopLayer    RESC1005X40N_2             1120.050      744.947       180      0R/50V/20mOhm                                                                            
R105       0R                                  TopLayer    RESC1005X40N_2             1220.763      1210.746      360      0R/50V/20mOhm                                                                            
C48        "100 nF"                            TopLayer    CAPC1005X55N-0_2           1120.050      882.125       360      "General Purpose Surface Mount Ceramic Capacitor"                                        
C47        "100 nF"                            TopLayer    CAPC1005X55N-0_2           1220.773      1130.938      180      "General Purpose Surface Mount Ceramic Capacitor"                                        
R66        0R                                  TopLayer    RESC1005X40N_2             1503.446      789.986       360      0R/50V/20mOhm                                                                            
R37        0R                                  TopLayer    RESC1005X40N_2             1041.718      883.977       180      0R/50V/20mOhm                                                                            
ANT1       "24GHZ S2G Antenna 4X1 Patch Array" BottomLayer S2G_ANT                    696.481       1134.488      360      ""                                                                                       
