Net Name,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Notes
# IMSAFE MainBoard Master Netlist - CSV Format
# Version 1.0 - 2026-01-30
# Format: Net Name, Component.Pin connections (up to 5), Notes

# ============= POWER NETS =============
+3V3,U1.VDD_ALL,U7.VOUT,U9.VDD,U10.VDD,U11.VDD,3.3V rail from TPS62133
+3V3,U13.VDD,U14.VDD,U15.VDD,U16.VDD,U17.3V3,3.3V continued
+3V3,U1801.VCC,U2.VCC,R_NRST.1,R_BOOT0.2,,3.3V continued
+5V,U8.VOUT,LED1-16.VDD,J1801.1,Q6.DRAIN,,5V rail from TPS62130
VSYS,U3.SYS,U7.VIN,U8.VIN,C_VSYS.1,,System rail 6-8.4V
VBUS,J1.VBUS,U3.VBUS,U2.VBUS,C_VBUS.1,,USB 5V input
VBAT,Battery+,U3.BAT,U4.VDD,,,Battery 6-8.4V
GND,All.GND,,,,,Common ground

# ============= MCU CORE =============
NRST,U1.NRST,R_NRST.2,C_NRST.1,J6.5,J7.5,Reset with RC filter
BOOT0,U1.BOOT0,R_BOOT0.1,,,,"Boot config, pull-down"
VCAP1,U1.VCAP1,C_VCAP1.1,,,,2.2uF to GND
VCAP2,U1.VCAP2,C_VCAP2.1,,,,2.2uF to GND
HSE_IN,U1.PH0,Y1.1,C_HSE1.1,,,8MHz crystal
HSE_OUT,U1.PH1,Y1.2,C_HSE2.1,,,8MHz crystal
LSE_IN,U1.PC14,Y2.1,C_LSE1.1,,,32.768kHz crystal
LSE_OUT,U1.PC15,Y2.2,C_LSE2.1,,,32.768kHz crystal

# ============= USB =============
USB_DP,U1.PA12,U2.IO1,J1.D+,,,USB D+
USB_DM,U1.PA11,U2.IO2,J1.D-,,,USB D-
USB_VBUS,U1.PA9,J1.VBUS,,,,VBUS sense
CC1,J1.CC1,R_CC1.1,,,,5.1k to GND
CC2,J1.CC2,R_CC2.1,,,,5.1k to GND

# ============= CAN-FD =============
FDCAN1_TX,U1.PD1,U1801.TXD,,,,CAN transmit
FDCAN1_RX,U1.PD0,U1801.RXD,,,,CAN receive
CANH,U1801.CANH,R1801.2,D1801.A1,J1801.2,,CAN High
CANL,U1801.CANL,R1802.2,D1801.A2,J1801.4,,CAN Low
